Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,B365H,B365D,B365A,Season
17/08/2002,Blackburn,Sunderland,0,0,D,15,7,5,3,1.727,3.25,4.333,0203
17/08/2002,Charlton,Chelsea,2,3,A,5,21,5,12,2.8,3.25,2.2,0203
17/08/2002,Everton,Tottenham,2,2,D,13,10,9,5,2.25,3.25,2.75,0203
17/08/2002,Fulham,Bolton,4,1,H,13,3,6,1,1.727,3.25,4.333,0203
17/08/2002,Leeds,Man City,3,0,H,13,18,8,10,1.667,3.4,4.5,0203
17/08/2002,Man United,West Brom,1,0,H,20,6,13,5,1.2,5.0,12.0,0203
17/08/2002,Southampton,Middlesbrough,0,0,D,12,11,5,5,2.25,3.25,2.75,0203
18/08/2002,Arsenal,Birmingham,2,0,H,15,7,7,1,1.222,5.0,10.0,0203
18/08/2002,Aston Villa,Liverpool,0,1,A,11,12,5,6,3.0,3.25,2.1,0203
19/08/2002,Newcastle,West Ham,4,0,H,13,7,10,4,1.571,3.4,5.5,0203
23/08/2002,Chelsea,Man United,2,2,D,11,9,5,7,2.75,3.25,2.25,0203
24/08/2002,Birmingham,Blackburn,0,1,A,15,13,10,9,2.625,3.2,2.375,0203
24/08/2002,Bolton,Charlton,1,2,A,15,8,9,4,2.1,3.25,3.0,0203
24/08/2002,Liverpool,Southampton,3,0,H,16,7,9,1,1.333,4.333,7.5,0203
24/08/2002,Man City,Newcastle,1,0,H,20,9,12,6,2.5,3.2,2.5,0203
24/08/2002,Middlesbrough,Fulham,2,2,D,6,10,3,4,2.0,3.25,3.25,0203
24/08/2002,Sunderland,Everton,0,1,A,13,11,3,5,2.1,3.0,3.25,0203
24/08/2002,Tottenham,Aston Villa,1,0,H,8,18,3,8,1.833,3.25,3.75,0203
24/08/2002,West Brom,Leeds,1,3,A,12,11,2,4,3.75,3.25,1.833,0203
24/08/2002,West Ham,Arsenal,2,2,D,8,9,4,5,4.0,3.5,1.727,0203
27/08/2002,Arsenal,West Brom,5,2,H,10,8,8,6,1.17,5.5,13.0,0203
27/08/2002,Charlton,Tottenham,0,1,A,10,7,5,1,2.4,3.2,2.6,0203
28/08/2002,Aston Villa,Man City,1,0,H,11,7,6,1,2.2,3.25,2.8,0203
28/08/2002,Blackburn,Liverpool,2,2,D,7,5,4,3,3.0,3.25,2.1,0203
28/08/2002,Everton,Birmingham,1,1,D,11,5,4,2,1.67,3.4,4.5,0203
28/08/2002,Leeds,Sunderland,0,1,A,20,9,9,4,1.5,3.4,6.5,0203
28/08/2002,Southampton,Chelsea,1,1,D,12,10,4,3,3.0,3.25,2.1,0203
31/08/2002,Birmingham,Leeds,2,1,H,9,8,5,6,4.0,3.25,1.8,0203
31/08/2002,Man City,Everton,3,1,H,7,14,6,8,1.727,3.25,4.333,0203
31/08/2002,Middlesbrough,Blackburn,1,0,H,7,10,3,7,2.2,3.25,2.8,0203
31/08/2002,Sunderland,Man United,1,1,D,12,20,5,10,5.0,3.4,1.615,0203
31/08/2002,Tottenham,Southampton,2,1,H,18,15,8,8,1.667,3.4,4.5,0203
31/08/2002,West Brom,Fulham,1,0,H,8,6,5,1,2.625,3.2,2.375,0203
31/08/2002,West Ham,Charlton,0,2,A,9,5,4,3,1.727,3.5,4.0,0203
01/09/2002,Bolton,Aston Villa,1,0,H,13,12,6,5,2.5,3.0,2.625,0203
01/09/2002,Chelsea,Arsenal,1,1,D,8,8,2,5,3.0,3.0,2.25,0203
02/09/2002,Liverpool,Newcastle,2,2,D,22,11,11,6,1.615,3.4,5.0,0203
03/09/2002,Man United,Middlesbrough,1,0,H,7,5,1,3,1.333,4.0,9.0,0203
10/09/2002,Arsenal,Man City,2,1,H,13,5,5,4,1.333,4.333,7.5,0203
10/09/2002,Middlesbrough,Sunderland,3,0,H,9,8,7,6,2.1,3.0,3.25,0203
11/09/2002,Aston Villa,Charlton,2,0,H,12,8,5,2,1.8,3.25,4.0,0203
11/09/2002,Blackburn,Chelsea,2,3,A,11,14,6,9,2.5,3.2,2.5,0203
