Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,B365H,B365D,B365A,Season
15/08/09,Aston Villa,Wigan,0,2,A,11,14,5,7,1.67,3.6,5.5,0910
15/08/09,Blackburn,Man City,0,2,A,17,8,9,5,3.6,3.25,2.1,0910
15/08/09,Bolton,Sunderland,0,1,A,11,20,3,13,2.25,3.25,3.25,0910
15/08/09,Chelsea,Hull,2,1,H,26,7,12,3,1.17,6.5,21.0,0910
15/08/09,Everton,Arsenal,1,6,A,8,15,5,9,3.2,3.25,2.3,0910
15/08/09,Portsmouth,Fulham,0,1,A,16,9,4,3,2.63,3.2,2.75,0910
15/08/09,Stoke,Burnley,2,0,H,12,9,5,5,1.91,3.3,4.33,0910
15/08/09,Wolves,West Ham,0,2,A,19,16,11,13,2.63,3.3,2.7,0910
16/08/09,Man United,Birmingham,1,0,H,26,6,17,4,1.2,6.0,17.0,0910
16/08/09,Tottenham,Liverpool,2,1,H,17,6,11,3,3.2,3.25,2.3,0910
18/08/09,Sunderland,Chelsea,1,3,A,4,20,3,9,6.5,4.0,1.53,0910
18/08/09,Wigan,Wolves,0,1,A,18,9,5,3,1.73,3.6,5.25,0910
19/08/09,Birmingham,Portsmouth,1,0,H,9,9,5,4,2.0,3.3,4.0,0910
19/08/09,Burnley,Man United,1,0,H,8,18,2,9,9.5,5.0,1.33,0910
19/08/09,Hull,Tottenham,1,5,A,9,18,7,12,3.75,3.5,2.0,0910
19/08/09,Liverpool,Stoke,4,0,H,18,6,13,3,1.25,5.5,13.0,0910
22/08/09,Arsenal,Portsmouth,4,1,H,19,9,16,4,1.17,7.0,19.0,0910
22/08/09,Birmingham,Stoke,0,0,D,8,13,6,3,2.3,3.2,3.25,0910
22/08/09,Hull,Bolton,1,0,H,12,20,5,10,2.6,3.25,2.8,0910
22/08/09,Man City,Wolves,1,0,H,16,10,11,2,1.33,4.5,12.0,0910
22/08/09,Sunderland,Blackburn,2,1,H,8,18,5,5,2.1,3.25,3.75,0910
22/08/09,Wigan,Man United,0,5,A,16,16,7,13,6.5,4.0,1.53,0910
23/08/09,Burnley,Everton,1,0,H,8,17,4,11,3.4,3.3,2.2,0910
23/08/09,Fulham,Chelsea,0,2,A,4,12,1,4,6.5,3.8,1.57,0910
23/08/09,West Ham,Tottenham,1,2,A,17,17,8,10,3.1,3.25,2.38,0910
24/08/09,Liverpool,Aston Villa,1,3,A,21,7,12,4,1.44,4.2,8.0,0910
29/08/09,Blackburn,West Ham,0,0,D,19,11,9,5,2.2,3.3,3.5,0910
29/08/09,Bolton,Liverpool,2,3,A,8,26,5,14,7.0,4.0,1.53,0910
29/08/09,Chelsea,Burnley,3,0,H,27,3,17,0,1.14,8.0,21.0,0910
29/08/09,Man United,Arsenal,2,1,H,10,9,4,3,2.2,3.3,3.5,0910
29/08/09,Stoke,Sunderland,1,0,H,13,9,7,6,2.38,3.25,3.2,0910
29/08/09,Tottenham,Birmingham,2,1,H,20,11,14,6,1.36,4.75,9.0,0910
29/08/09,Wolves,Hull,1,1,D,24,5,17,4,2.1,3.3,3.6,0910
30/08/09,Aston Villa,Fulham,2,0,H,9,6,4,3,1.73,3.6,5.25,0910
30/08/09,Everton,Wigan,2,1,H,26,12,14,7,1.73,3.6,5.25,0910
30/08/09,Portsmouth,Man City,0,1,A,11,12,6,8,6.5,3.8,1.57,0910
12/09/09,Blackburn,Wolves,3,1,H,13,9,10,5,1.83,3.5,4.5,0910
12/09/09,Liverpool,Burnley,4,0,H,27,6,16,3,1.2,6.5,15.0,0910
12/09/09,Man City,Arsenal,4,2,H,10,19,6,9,2.88,3.25,2.5,0910
12/09/09,Portsmouth,Bolton,2,3,A,21,14,11,6,2.6,3.2,2.8,0910
12/09/09,Stoke,Chelsea,1,2,A,4,18,2,10,9.0,4.5,1.4,0910
12/09/09,Sunderland,Hull,4,1,H,7,6,4,5,1.75,3.5,5.0,0910
12/09/09,Tottenham,Man United,1,3,A,11,17,7,13,3.1,3.4,2.3,0910
12/09/09,Wigan,West Ham,1,0,H,12,12,6,5,2.3,3.25,3.25,0910
13/09/09,Birmingham,Aston Villa,0,1,A,11,12,7,5,3.4,3.25,2.25,0910
13/09/09,Fulham,Everton,2,1,H,14,6,8,6,2.6,3.2,2.8,0910
19/09/09,Arsenal,Wigan,4,0,H,23,8,11,5,1.25,5.5,13.0,0910
19/09/09,Aston Villa,Portsmouth,2,0,H,7,17,5,12,1.4,4.2,10.0,0910
19/09/09,Bolton,Stoke,1,1,D,11,10,5,6,2.1,3.25,3.75,0910
19/09/09,Burnley,Sunderland,3,1,H,10,8,3,5,2.88,3.25,2.5,0910
19/09/09,Hull,Birmingham,0,1,A,16,14,11,9,2.4,3.25,3.0,0910
19/09/09,West Ham,Liverpool,2,3,A,8,19,5,15,6.5,4.0,1.53,0910
20/09/09,Chelsea,Tottenham,3,0,H,25,9,15,4,1.5,4.0,7.0,0910
20/09/09,Everton,Blackburn,3,0,H,18,7,11,4,1.8,3.3,5.0,0910
20/09/09,Man United,Man City,4,3,H,21,10,11,6,1.57,4.0,6.0,0910
20/09/09,Wolves,Fulham,2,1,H,12,3,4,1,2.5,3.25,2.88,0910
26/09/09,Birmingham,Bolton,1,2,A,12,10,6,4,2.2,3.25,3.4,0910
26/09/09,Blackburn,Aston Villa,2,1,H,15,10,7,5,3.1,3.25,2.38,0910
26/09/09,Fulham,Arsenal,0,1,A,18,14,12,4,6.5,4.0,1.53,0910
26/09/09,Liverpool,Hull,6,1,H,22,7,14,3,1.14,7.5,23.0,0910
26/09/09,Portsmouth,Everton,0,1,A,16,12,12,8,4.2,3.4,1.91,0910
26/09/09,Stoke,Man United,0,2,A,2,13,1,7,8.5,4.5,1.4,0910
26/09/09,Tottenham,Burnley,5,0,H,18,10,12,7,1.33,5.0,10.0,0910
26/09/09,Wigan,Chelsea,3,1,H,15,14,9,8,10.0,5.0,1.33,0910
27/09/09,Sunderland,Wolves,5,2,H,10,15,8,11,1.73,3.6,5.0,0910
28/09/09,Man City,West Ham,3,1,H,20,12,12,8,1.44,4.33,7.5,0910
03/10/09,Bolton,Tottenham,2,2,D,12,17,9,9,3.8,3.6,1.95,0910
03/10/09,Burnley,Birmingham,2,1,H,15,10,13,6,2.3,3.25,3.2,0910
03/10/09,Hull,Wigan,2,1,H,11,13,6,5,2.88,3.3,2.5,0910
03/10/09,Man United,Sunderland,2,2,D,17,4,9,3,1.2,6.5,15.0,0910
03/10/09,Wolves,Portsmouth,0,1,A,11,12,5,8,2.0,3.4,3.8,0910
04/10/09,Arsenal,Blackburn,6,2,H,24,7,18,7,1.2,6.5,15.0,0910
04/10/09,Chelsea,Liverpool,2,0,H,12,12,8,3,2.1,3.3,3.6,0910
04/10/09,Everton,Stoke,1,1,D,24,8,17,6,1.57,4.0,6.0,0910
04/10/09,West Ham,Fulham,2,2,D,20,10,10,6,2.2,3.25,3.4,0910
05/10/09,Aston Villa,Man City,1,1,D,12,9,6,7,2.75,3.25,2.63,0910
17/10/09,Arsenal,Birmingham,3,1,H,20,3,12,2,1.17,7.0,19.0,0910
17/10/09,Aston Villa,Chelsea,2,1,H,7,21,5,13,4.5,3.6,1.8,0910
17/10/09,Everton,Wolves,1,1,D,13,12,5,6,1.44,4.2,6.5,0910
17/10/09,Man United,Bolton,2,1,H,13,15,7,7,1.2,5.5,13.0,0910
17/10/09,Portsmouth,Tottenham,1,2,A,23,9,13,4,4.5,3.5,1.83,0910
17/10/09,Stoke,West Ham,2,1,H,11,12,4,11,2.1,3.3,3.6,0910
17/10/09,Sunderland,Liverpool,1,0,H,13,15,7,6,4.2,3.4,1.91,0910
18/10/09,Blackburn,Burnley,3,2,H,12,9,6,5,1.73,3.6,5.0,0910
18/10/09,Wigan,Man City,1,1,D,13,5,7,4,5.0,3.6,1.73,0910
19/10/09,Fulham,Hull,2,0,H,17,5,11,2,1.67,3.6,5.5,0910
24/10/09,Birmingham,Sunderland,2,1,H,19,14,13,6,2.9,3.25,2.5,0910
24/10/09,Burnley,Wigan,1,3,A,12,13,9,8,2.5,3.3,2.88,0910
24/10/09,Chelsea,Blackburn,5,0,H,26,5,15,2,1.2,6.5,15.0,0910
24/10/09,Hull,Portsmouth,0,0,D,7,8,3,2,2.6,3.2,2.8,0910
24/10/09,Tottenham,Stoke,0,1,A,22,8,12,2,1.44,4.33,7.5,0910
24/10/09,Wolves,Aston Villa,1,1,D,8,12,4,8,3.5,3.2,2.2,0910
25/10/09,Bolton,Everton,3,2,H,12,17,8,12,2.63,3.25,2.75,0910
25/10/09,Liverpool,Man United,2,0,H,11,7,6,5,3.0,3.25,2.4,0910
25/10/09,Man City,Fulham,2,2,D,20,11,7,5,1.44,4.2,8.0,0910
25/10/09,West Ham,Arsenal,2,2,D,15,15,9,10,7.0,4.2,1.5,0910
31/10/09,Arsenal,Tottenham,3,0,H,18,7,12,5,1.57,4.0,6.0,0910
31/10/09,Bolton,Chelsea,0,4,A,15,27,6,17,9.0,4.33,1.4,0910
31/10/09,Burnley,Hull,2,0,H,11,8,5,6,1.91,3.4,4.2,0910
31/10/09,Everton,Aston Villa,1,1,D,9,13,4,8,2.5,3.25,2.88,0910
31/10/09,Fulham,Liverpool,3,1,H,10,6,6,3,4.2,3.4,1.91,0910
31/10/09,Man United,Blackburn,2,0,H,20,2,11,1,1.17,7.0,19.0,0910
31/10/09,Portsmouth,Wigan,4,0,H,21,8,11,3,2.38,3.3,3.0,0910
31/10/09,Stoke,Wolves,2,2,D,10,11,5,7,1.91,3.4,4.2,0910
31/10/09,Sunderland,West Ham,2,2,D,17,15,7,9,2.0,3.3,4.0,0910
01/11/09,Birmingham,Man City,0,0,D,7,14,4,6,4.33,3.6,1.83,0910
04/11/09,West Ham,Aston Villa,2,1,H,14,13,7,10,2.75,3.3,2.63,0910
07/11/09,Aston Villa,Bolton,5,1,H,19,13,13,9,1.8,3.5,4.75,0910
07/11/09,Blackburn,Portsmouth,3,1,H,10,9,6,3,2.1,3.4,3.6,0910
07/11/09,Man City,Burnley,3,3,D,13,6,8,4,1.33,4.75,11.0,0910
07/11/09,Tottenham,Sunderland,2,0,H,10,14,8,6,1.57,3.75,6.5,0910
07/11/09,Wolves,Arsenal,1,4,A,8,11,6,6,9.0,4.75,1.36,0910
08/11/09,Chelsea,Man United,1,0,H,12,21,9,10,2.0,3.25,4.0,0910
08/11/09,Hull,Stoke,2,1,H,16,7,8,4,2.75,3.3,2.6,0910
08/11/09,West Ham,Everton,1,2,A,16,9,7,6,2.4,3.3,3.0,0910
08/11/09,Wigan,Fulham,1,1,D,19,7,12,3,2.25,3.2,3.4,0910
09/11/09,Liverpool,Birmingham,2,2,D,27,5,14,2,1.36,4.5,10.0,0910
21/11/09,Birmingham,Fulham,1,0,H,3,12,2,5,2.5,3.2,2.9,0910
21/11/09,Burnley,Aston Villa,1,1,D,11,10,6,6,3.4,3.3,2.2,0910
21/11/09,Chelsea,Wolves,4,0,H,23,4,14,3,1.17,7.0,19.0,0910
21/11/09,Hull,West Ham,3,3,D,12,16,8,10,2.88,3.25,2.5,0910
21/11/09,Liverpool,Man City,2,2,D,10,9,6,6,1.91,3.4,4.2,0910
21/11/09,Man United,Everton,3,0,H,18,11,11,5,1.4,4.5,9.0,0910
