Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,B365H,B365D,B365A,Season
18/08/12,Arsenal,Sunderland,0,0,D,14,3,4,2,1.4,4.5,8.5,1213
18/08/12,Fulham,Norwich,5,0,H,11,4,9,2,1.8,3.6,4.5,1213
18/08/12,Newcastle,Tottenham,2,1,H,6,12,4,6,2.5,3.4,2.75,1213
18/08/12,QPR,Swansea,0,5,A,20,12,11,8,2.0,3.4,3.8,1213
18/08/12,Reading,Stoke,1,1,D,9,6,3,3,2.38,3.25,3.1,1213
18/08/12,West Brom,Liverpool,3,0,H,15,14,10,7,4.2,3.5,1.91,1213
18/08/12,West Ham,Aston Villa,1,0,H,8,10,4,6,2.2,3.3,3.4,1213
19/08/12,Man City,Southampton,3,2,H,20,9,15,6,1.17,7.0,17.0,1213
19/08/12,Wigan,Chelsea,0,2,A,12,5,4,3,6.0,3.75,1.62,1213
20/08/12,Everton,Man United,1,0,H,16,12,7,7,4.33,3.6,1.83,1213
22/08/12,Chelsea,Reading,4,2,H,23,7,11,5,1.25,5.5,13.0,1213
25/08/12,Aston Villa,Everton,1,3,A,7,19,3,11,2.9,3.4,2.4,1213
25/08/12,Chelsea,Newcastle,2,0,H,11,11,6,5,1.5,4.33,6.5,1213
25/08/12,Man United,Fulham,3,2,H,20,14,11,11,1.29,5.5,11.0,1213
25/08/12,Norwich,QPR,1,1,D,13,6,4,4,2.25,3.4,3.2,1213
25/08/12,Southampton,Wigan,0,2,A,14,12,9,8,2.1,3.4,3.5,1213
25/08/12,Swansea,West Ham,3,0,H,10,7,7,6,2.1,3.3,3.6,1213
25/08/12,Tottenham,West Brom,1,1,D,18,10,10,5,1.5,4.33,6.5,1213
26/08/12,Liverpool,Man City,2,2,D,15,11,8,5,3.1,3.4,2.3,1213
26/08/12,Stoke,Arsenal,0,0,D,7,16,4,6,3.5,3.4,2.1,1213
01/09/12,Man City,QPR,3,1,H,19,9,12,5,1.18,7.0,15.0,1213
01/09/12,Swansea,Sunderland,2,2,D,14,4,10,3,2.2,3.3,3.4,1213
01/09/12,Tottenham,Norwich,1,1,D,15,10,9,4,1.36,5.0,8.5,1213
01/09/12,West Brom,Everton,2,0,H,14,12,8,5,3.0,3.3,2.38,1213
01/09/12,West Ham,Fulham,3,0,H,17,14,12,13,2.5,3.25,2.88,1213
01/09/12,Wigan,Stoke,2,2,D,9,16,5,8,2.25,3.25,3.3,1213
02/09/12,Liverpool,Arsenal,0,2,A,17,11,8,7,2.0,3.5,3.75,1213
02/09/12,Newcastle,Aston Villa,1,1,D,16,13,6,9,1.62,3.75,6.0,1213
