Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,B365H,B365D,B365A,Season
19/08/06,Arsenal,Aston Villa,1,1,D,19,5,11,3,1.28,4.5,13.0,0607
19/08/06,Bolton,Tottenham,2,0,H,8,9,6,6,2.62,3.2,2.6,0607
19/08/06,Everton,Watford,2,1,H,6,12,2,8,1.66,3.4,5.5,0607
19/08/06,Newcastle,Wigan,2,1,H,9,14,8,9,1.72,3.5,4.75,0607
19/08/06,Portsmouth,Blackburn,3,0,H,21,9,16,7,2.3,3.1,3.1,0607
19/08/06,Reading,Middlesbrough,3,2,H,14,7,9,5,2.5,3.1,2.8,0607
19/08/06,Sheffield United,Liverpool,1,1,D,5,12,3,7,6.0,3.8,1.53,0607
19/08/06,West Ham,Charlton,3,1,H,16,4,5,2,2.0,3.2,3.75,0607
20/08/06,Chelsea,Man City,3,0,H,10,5,4,2,1.22,5.5,13.0,0607
20/08/06,Man United,Fulham,5,1,H,15,12,7,8,1.22,5.5,13.0,0607
22/08/06,Tottenham,Sheffield United,2,0,H,18,6,13,3,1.5,3.75,7.0,0607
22/08/06,Watford,West Ham,1,1,D,11,8,4,4,2.87,3.2,2.4,0607
23/08/06,Aston Villa,Reading,2,1,H,11,5,6,3,1.9,3.25,4.0,0607
23/08/06,Blackburn,Everton,1,1,D,10,10,5,4,2.3,3.1,3.1,0607
23/08/06,Charlton,Man United,0,3,A,8,21,2,11,7.5,3.6,1.5,0607
23/08/06,Fulham,Bolton,1,1,D,11,4,4,1,2.4,3.2,2.87,0607
23/08/06,Man City,Portsmouth,0,0,D,6,3,3,1,2.2,3.1,3.1,0607
23/08/06,Middlesbrough,Chelsea,2,1,H,9,8,2,5,8.5,3.75,1.44,0607
26/08/06,Charlton,Bolton,2,0,H,9,7,5,2,2.5,3.1,2.8,0607
26/08/06,Fulham,Sheffield United,1,0,H,10,9,5,1,1.9,3.25,4.0,0607
26/08/06,Liverpool,West Ham,2,1,H,19,8,8,3,1.44,4.0,7.5,0607
