Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,B365H,B365D,B365A,Season
10/09/11,Arsenal,Swansea,1,0,H,18,10,8,5,1.36,4.75,9.0,1112
10/09/11,Bolton,Man United,0,5,A,20,13,13,9,9.0,4.5,1.4,1112
10/09/11,Everton,Aston Villa,2,2,D,17,7,10,3,2.0,3.4,3.8,1112
10/09/11,Man City,Wigan,3,0,H,23,9,10,5,1.17,7.0,17.0,1112
10/09/11,Stoke,Liverpool,1,0,H,3,20,1,11,3.25,3.3,2.25,1112
10/09/11,Sunderland,Chelsea,1,2,A,14,16,7,8,5.0,3.75,1.7,1112
10/09/11,Wolves,Tottenham,0,2,A,10,17,6,11,3.0,3.25,2.4,1112
11/09/11,Fulham,Blackburn,1,1,D,13,10,8,5,1.67,3.6,5.5,1112
11/09/11,Norwich,West Brom,0,1,A,17,14,5,9,2.5,3.25,2.88,1112
12/09/11,QPR,Newcastle,0,0,D,14,8,5,3,2.4,3.25,3.0,1112
17/09/11,Aston Villa,Newcastle,1,1,D,10,21,2,13,1.91,3.4,4.2,1112
17/09/11,Blackburn,Arsenal,4,3,H,10,24,5,16,4.2,3.4,1.91,1112
17/09/11,Bolton,Norwich,1,2,A,7,11,7,5,1.8,3.6,4.6,1112
17/09/11,Everton,Wigan,3,1,H,17,9,10,4,1.5,4.0,7.0,1112
17/09/11,Swansea,West Brom,3,0,H,7,13,5,8,2.63,3.2,2.75,1112
17/09/11,Wolves,QPR,0,3,A,13,17,6,12,1.91,3.4,4.2,1112
18/09/11,Fulham,Man City,2,2,D,14,18,11,11,6.5,3.8,1.57,1112
18/09/11,Man United,Chelsea,3,1,H,12,20,7,9,1.83,3.5,4.5,1112
18/09/11,Sunderland,Stoke,4,0,H,8,9,7,5,2.4,3.2,3.1,1112
18/09/11,Tottenham,Liverpool,4,0,H,24,5,16,2,2.63,3.4,2.63,1112
24/09/11,Arsenal,Bolton,3,0,H,23,3,14,3,1.44,4.5,7.0,1112
24/09/11,Chelsea,Swansea,4,1,H,15,5,7,4,1.2,6.5,15.0,1112
24/09/11,Liverpool,Wolves,2,1,H,14,11,6,6,1.36,4.5,10.0,1112
24/09/11,Man City,Everton,2,0,H,18,7,8,3,1.44,4.33,7.5,1112
24/09/11,Newcastle,Blackburn,3,1,H,19,4,8,1,1.83,3.5,4.5,1112
24/09/11,Stoke,Man United,1,1,D,14,13,8,9,6.5,4.0,1.53,1112
24/09/11,West Brom,Fulham,0,0,D,8,18,5,9,2.3,3.25,3.25,1112
24/09/11,Wigan,Tottenham,1,2,A,5,14,4,7,4.0,3.5,1.91,1112
25/09/11,QPR,Aston Villa,1,1,D,17,8,9,4,2.3,3.25,3.2,1112
26/09/11,Norwich,Sunderland,2,1,H,11,12,8,6,2.5,3.4,2.8,1112
01/10/11,Aston Villa,Wigan,2,0,H,16,14,10,9,1.62,3.75,6.0,1112
01/10/11,Blackburn,Man City,0,4,A,5,19,4,12,6.5,3.75,1.57,1112
01/10/11,Everton,Liverpool,0,2,A,12,15,4,9,3.1,3.2,2.4,1112
01/10/11,Man United,Norwich,2,0,H,17,13,9,6,1.17,7.0,17.0,1112
01/10/11,Sunderland,West Brom,2,2,D,12,7,7,3,2.25,3.4,3.2,1112
01/10/11,Wolves,Newcastle,1,2,A,25,10,12,6,2.5,3.25,2.88,1112
02/10/11,Bolton,Chelsea,1,5,A,14,21,10,14,6.5,4.0,1.53,1112
02/10/11,Fulham,QPR,6,0,H,19,17,13,10,2.0,3.3,4.0,1112
02/10/11,Swansea,Stoke,2,0,H,9,11,5,6,2.63,3.25,2.75,1112
02/10/11,Tottenham,Arsenal,2,1,H,16,13,8,7,2.1,3.4,3.5,1112
15/10/11,Chelsea,Everton,3,1,H,7,9,5,5,1.36,4.5,10.0,1112
15/10/11,Liverpool,Man United,1,1,D,14,10,8,3,3.0,3.3,2.4,1112
15/10/11,Man City,Aston Villa,4,1,H,15,8,10,6,1.33,5.0,10.0,1112
15/10/11,Norwich,Swansea,3,1,H,15,12,8,4,2.2,3.3,3.4,1112
15/10/11,QPR,Blackburn,1,1,D,12,10,6,9,1.83,3.5,4.5,1112
15/10/11,Stoke,Fulham,2,0,H,14,4,6,1,2.2,3.2,3.5,1112
15/10/11,Wigan,Bolton,1,3,A,13,14,9,11,2.3,3.3,3.2,1112
16/10/11,Arsenal,Sunderland,2,1,H,20,8,11,4,1.44,4.33,7.5,1112
16/10/11,Newcastle,Tottenham,2,2,D,12,11,7,8,3.0,3.3,2.4,1112
16/10/11,West Brom,Wolves,2,0,H,17,13,11,10,2.0,3.3,4.0,1112
22/10/11,Aston Villa,West Brom,1,2,A,3,8,0,5,2.0,3.3,4.0,1112
22/10/11,Bolton,Sunderland,0,2,A,15,18,8,10,2.2,3.2,3.5,1112
22/10/11,Liverpool,Norwich,1,1,D,25,12,15,10,1.29,5.5,11.0,1112
22/10/11,Newcastle,Wigan,1,0,H,13,12,10,5,1.57,3.8,6.5,1112
22/10/11,Wolves,Swansea,2,2,D,20,16,13,14,2.0,3.4,3.8,1112
23/10/11,Arsenal,Stoke,3,1,H,9,5,5,2,1.53,4.0,6.5,1112
23/10/11,Blackburn,Tottenham,1,2,A,19,9,8,7,4.0,3.5,1.91,1112
23/10/11,Fulham,Everton,1,3,A,15,11,8,7,2.25,3.25,3.3,1112
23/10/11,Man United,Man City,1,6,A,12,19,8,12,2.0,3.4,3.8,1112
23/10/11,QPR,Chelsea,1,0,H,8,14,3,7,9.5,5.0,1.33,1112
29/10/11,Chelsea,Arsenal,3,5,A,12,13,10,8,1.62,4.0,5.5,1112
29/10/11,Everton,Man United,0,1,A,18,7,11,6,4.5,3.6,1.8,1112
29/10/11,Man City,Wolves,3,1,H,18,9,9,2,1.17,7.0,19.0,1112
29/10/11,Norwich,Blackburn,3,3,D,13,12,6,7,1.91,3.6,4.0,1112
29/10/11,Sunderland,Aston Villa,2,2,D,13,10,8,5,2.1,3.3,3.6,1112
29/10/11,Swansea,Bolton,3,1,H,20,8,12,3,2.1,3.3,3.6,1112
29/10/11,West Brom,Liverpool,0,2,A,10,17,6,7,4.0,3.3,2.0,1112
29/10/11,Wigan,Fulham,0,2,A,18,7,9,5,2.88,3.25,2.5,1112
30/10/11,Tottenham,QPR,3,1,H,22,12,13,8,1.36,4.75,9.0,1112
31/10/11,Stoke,Newcastle,1,3,A,10,6,4,2,2.1,3.2,3.8,1112
05/11/11,Arsenal,West Brom,3,0,H,12,9,7,4,1.4,4.5,8.5,1112
05/11/11,Aston Villa,Norwich,3,2,H,12,9,6,7,1.83,3.5,4.5,1112
05/11/11,Blackburn,Chelsea,0,1,A,13,12,8,8,7.5,4.33,1.44,1112
05/11/11,Liverpool,Swansea,0,0,D,18,9,10,3,1.29,5.5,10.0,1112
05/11/11,Man United,Sunderland,1,0,H,15,9,9,3,1.25,5.5,13.0,1112
05/11/11,Newcastle,Everton,2,1,H,10,14,6,6,2.25,3.25,3.3,1112
05/11/11,QPR,Man City,2,3,A,18,16,9,8,10.0,5.0,1.33,1112
06/11/11,Bolton,Stoke,5,0,H,20,9,16,6,2.4,3.3,3.0,1112
06/11/11,Fulham,Tottenham,1,3,A,26,8,20,8,3.25,3.3,2.25,1112
06/11/11,Wolves,Wigan,3,1,H,13,13,12,7,1.91,3.3,4.33,1112
19/11/11,Everton,Wolves,2,1,H,13,4,9,1,1.57,3.75,6.5,1112
19/11/11,Man City,Newcastle,3,1,H,12,10,9,7,1.3,5.5,10.0,1112
19/11/11,Norwich,Arsenal,1,2,A,7,20,4,14,5.5,3.6,1.67,1112
19/11/11,Stoke,QPR,2,3,A,17,9,7,8,1.83,3.5,4.5,1112
19/11/11,Sunderland,Fulham,0,0,D,13,13,8,9,2.3,3.25,3.2,1112
19/11/11,Swansea,Man United,0,1,A,9,13,6,7,6.5,4.2,1.5,1112
19/11/11,West Brom,Bolton,2,1,H,16,8,9,6,2.0,3.4,3.8,1112
19/11/11,Wigan,Blackburn,3,3,D,21,6,11,2,2.5,3.25,2.88,1112
20/11/11,Chelsea,Liverpool,1,2,A,18,9,5,3,1.83,3.5,4.5,1112
21/11/11,Tottenham,Aston Villa,2,0,H,20,5,9,1,1.57,4.0,6.0,1112
26/11/11,Arsenal,Fulham,1,1,D,20,10,12,6,1.44,4.2,8.0,1112
26/11/11,Bolton,Everton,0,2,A,8,17,7,14,3.1,3.25,2.38,1112
26/11/11,Chelsea,Wolves,3,0,H,17,7,11,2,1.22,6.0,15.0,1112
26/11/11,Man United,Newcastle,1,1,D,23,8,13,6,1.4,4.5,8.5,1112
26/11/11,Norwich,QPR,2,1,H,15,13,8,4,2.1,3.4,3.5,1112
26/11/11,Stoke,Blackburn,3,1,H,8,16,5,12,1.83,3.5,4.5,1112
26/11/11,Sunderland,Wigan,1,2,A,17,7,11,4,1.67,3.6,5.5,1112
26/11/11,West Brom,Tottenham,1,3,A,9,23,5,14,4.0,3.6,1.91,1112
27/11/11,Liverpool,Man City,1,1,D,17,7,9,3,2.75,3.2,2.63,1112
27/11/11,Swansea,Aston Villa,0,0,D,6,9,2,4,2.2,3.25,3.4,1112
03/12/11,Aston Villa,Man United,0,1,A,7,11,3,5,5.0,3.6,1.73,1112
03/12/11,Blackburn,Swansea,4,2,H,14,10,9,5,2.1,3.4,3.5,1112
03/12/11,Man City,Norwich,5,1,H,21,5,16,2,1.17,7.0,17.0,1112
03/12/11,Newcastle,Chelsea,0,3,A,16,21,9,13,3.5,3.4,2.1,1112
03/12/11,QPR,West Brom,1,1,D,14,15,4,10,2.25,3.3,3.25,1112
03/12/11,Tottenham,Bolton,3,0,H,25,13,16,9,1.3,5.0,12.0,1112
03/12/11,Wigan,Arsenal,0,4,A,7,16,4,10,6.0,4.0,1.57,1112
04/12/11,Everton,Stoke,0,1,A,11,7,4,4,1.67,3.6,5.5,1112
04/12/11,Wolves,Sunderland,2,1,H,15,18,10,12,2.4,3.3,3.0,1112
05/12/11,Fulham,Liverpool,1,0,H,19,17,13,9,3.5,3.4,2.1,1112
10/12/11,Arsenal,Everton,1,0,H,12,7,7,1,1.53,4.0,6.5,1112
10/12/11,Bolton,Aston Villa,1,2,A,17,17,12,11,2.5,3.3,2.88,1112
10/12/11,Liverpool,QPR,1,0,H,21,6,15,2,1.33,5.0,10.0,1112
10/12/11,Man United,Wolves,4,1,H,22,11,18,8,1.22,6.0,15.0,1112
10/12/11,Norwich,Newcastle,4,2,H,13,11,11,8,2.4,3.4,2.88,1112
10/12/11,Swansea,Fulham,2,0,H,16,12,8,7,2.63,3.25,2.75,1112
10/12/11,West Brom,Wigan,1,2,A,13,7,8,4,1.67,3.8,5.25,1112
11/12/11,Stoke,Tottenham,2,1,H,10,15,7,12,3.75,3.5,2.0,1112
11/12/11,Sunderland,Blackburn,2,1,H,22,3,12,2,1.83,3.5,4.5,1112
12/12/11,Chelsea,Man City,2,1,H,13,7,7,4,2.4,3.3,3.0,1112
17/12/11,Blackburn,West Brom,1,2,A,17,13,14,6,2.38,3.3,3.0,1112
17/12/11,Everton,Norwich,1,1,D,28,7,15,1,1.62,3.75,6.0,1112
17/12/11,Fulham,Bolton,2,0,H,16,14,9,6,1.62,3.75,6.0,1112
17/12/11,Newcastle,Swansea,0,0,D,17,3,6,0,1.8,3.6,4.5,1112
17/12/11,Wigan,Chelsea,1,1,D,15,10,7,5,9.0,4.75,1.36,1112
17/12/11,Wolves,Stoke,1,2,A,10,8,5,4,2.5,3.25,2.88,1112
18/12/11,Aston Villa,Liverpool,0,2,A,16,19,8,12,4.2,3.4,1.91,1112
18/12/11,Man City,Arsenal,1,0,H,15,12,9,8,1.73,3.75,4.5,1112
18/12/11,QPR,Man United,0,2,A,11,19,3,12,7.5,4.33,1.44,1112
18/12/11,Tottenham,Sunderland,1,0,H,16,8,12,4,1.36,4.75,9.0,1112
20/12/11,Blackburn,Bolton,1,2,A,17,8,7,5,2.1,3.4,3.5,1112
20/12/11,Wolves,Norwich,2,2,D,18,18,9,14,2.0,3.5,3.75,1112
21/12/11,Aston Villa,Arsenal,1,2,A,10,8,4,6,5.0,3.6,1.73,1112
21/12/11,Everton,Swansea,1,0,H,13,4,6,4,1.57,3.75,6.5,1112
21/12/11,Fulham,Man United,0,5,A,13,14,8,12,5.0,3.6,1.73,1112
21/12/11,Man City,Stoke,3,0,H,20,2,16,0,1.22,6.0,15.0,1112
21/12/11,Newcastle,West Brom,2,3,A,21,14,11,8,2.0,3.5,3.75,1112
21/12/11,QPR,Sunderland,2,3,A,17,17,9,13,2.5,3.3,2.88,1112
21/12/11,Wigan,Liverpool,0,0,D,15,18,10,10,7.0,4.0,1.5,1112
22/12/11,Tottenham,Chelsea,1,1,D,16,20,10,10,2.6,3.4,2.7,1112
26/12/11,Bolton,Newcastle,0,2,A,4,12,3,7,2.5,3.4,2.8,1112
26/12/11,Chelsea,Fulham,1,1,D,24,9,15,6,1.3,5.0,12.0,1112
26/12/11,Liverpool,Blackburn,1,1,D,28,5,13,2,1.25,5.5,13.0,1112
26/12/11,Man United,Wigan,5,0,H,17,9,9,5,1.14,7.5,21.0,1112
26/12/11,Stoke,Aston Villa,0,0,D,7,10,2,4,1.91,3.4,4.2,1112
26/12/11,Sunderland,Everton,1,1,D,12,9,8,3,2.4,3.25,3.0,1112
26/12/11,West Brom,Man City,0,0,D,7,18,3,9,7.0,4.5,1.44,1112
27/12/11,Arsenal,Wolves,1,1,D,23,6,17,4,1.22,6.0,15.0,1112
27/12/11,Norwich,Tottenham,0,2,A,8,19,4,8,4.5,3.6,1.8,1112
27/12/11,Swansea,QPR,1,1,D,7,12,4,7,2.0,3.4,3.8,1112
30/12/11,Liverpool,Newcastle,3,1,H,15,5,7,2,1.53,4.0,6.5,1112
31/12/11,Arsenal,QPR,1,0,H,16,6,7,3,1.25,5.5,13.0,1112
31/12/11,Bolton,Wolves,1,1,D,13,8,9,5,2.2,3.25,3.4,1112
31/12/11,Chelsea,Aston Villa,1,3,A,16,12,5,9,1.29,5.0,13.0,1112
31/12/11,Man United,Blackburn,2,3,A,26,10,13,5,1.13,8.0,26.0,1112
31/12/11,Norwich,Fulham,1,1,D,18,11,9,6,2.6,3.25,2.75,1112
31/12/11,Stoke,Wigan,2,2,D,12,10,3,6,1.67,3.6,5.5,1112
31/12/11,Swansea,Tottenham,1,1,D,14,12,8,7,5.5,3.6,1.67,1112
01/01/12,Sunderland,Man City,1,0,H,8,25,5,11,6.5,4.0,1.53,1112
01/01/12,West Brom,Everton,0,1,A,10,13,2,8,2.6,3.25,2.75,1112
02/01/12,Aston Villa,Swansea,0,2,A,10,8,2,4,1.83,3.4,4.75,1112
02/01/12,Blackburn,Stoke,1,2,A,14,8,7,3,2.5,3.25,2.88,1112
02/01/12,Fulham,Arsenal,2,1,H,21,17,8,10,4.0,3.5,1.91,1112
02/01/12,QPR,Norwich,1,2,A,9,13,6,6,2.1,3.4,3.5,1112
02/01/12,Wolves,Chelsea,1,2,A,9,15,5,10,6.0,4.0,1.57,1112
03/01/12,Man City,Liverpool,3,0,H,10,18,8,10,1.91,3.4,4.2,1112
03/01/12,Tottenham,West Brom,1,0,H,20,8,14,2,1.33,5.0,10.0,1112
03/01/12,Wigan,Sunderland,1,4,A,20,10,10,9,2.63,3.25,2.75,1112
04/01/12,Everton,Bolton,1,2,A,10,12,4,7,1.5,4.0,7.0,1112
04/01/12,Newcastle,Man United,3,0,H,10,6,6,6,5.0,3.6,1.73,1112
11/01/12,Tottenham,Everton,2,0,H,14,11,7,4,1.53,3.8,7.0,1112
14/01/12,Aston Villa,Everton,1,1,D,17,7,11,4,2.4,3.25,3.0,1112
14/01/12,Blackburn,Fulham,3,1,H,15,17,11,7,3.0,3.3,2.38,1112
14/01/12,Chelsea,Sunderland,1,0,H,21,9,10,4,1.4,4.5,8.5,1112
14/01/12,Liverpool,Stoke,0,0,D,13,3,5,1,1.4,4.33,9.0,1112
14/01/12,Man United,Bolton,3,0,H,19,11,9,5,1.14,8.0,17.0,1112
14/01/12,Tottenham,Wolves,1,1,D,22,5,10,3,1.25,5.5,13.0,1112
14/01/12,West Brom,Norwich,1,2,A,16,7,8,4,2.0,3.4,3.8,1112
15/01/12,Newcastle,QPR,1,0,H,9,15,4,9,1.73,3.6,5.0,1112
15/01/12,Swansea,Arsenal,3,2,H,9,14,5,9,4.75,3.5,1.8,1112
16/01/12,Wigan,Man City,0,1,A,7,12,4,8,9.0,4.33,1.4,1112
21/01/12,Bolton,Liverpool,3,1,H,15,11,8,8,6.0,3.75,1.62,1112
21/01/12,Everton,Blackburn,1,1,D,15,14,8,8,1.53,4.0,6.5,1112
21/01/12,Fulham,Newcastle,5,2,H,10,15,7,9,2.0,3.4,3.8,1112
21/01/12,Norwich,Chelsea,0,0,D,5,19,3,9,5.5,4.0,1.62,1112
21/01/12,QPR,Wigan,3,1,H,16,9,8,4,2.0,3.4,3.8,1112
21/01/12,Stoke,West Brom,1,2,A,10,15,3,6,1.91,3.4,4.2,1112
21/01/12,Sunderland,Swansea,2,0,H,7,11,2,4,1.91,3.4,4.2,1112
21/01/12,Wolves,Aston Villa,2,3,A,13,11,9,5,2.5,3.25,2.88,1112
22/01/12,Arsenal,Man United,1,2,A,12,9,6,5,2.8,3.4,2.5,1112
22/01/12,Man City,Tottenham,3,2,H,13,12,7,7,1.91,3.6,4.0,1112
31/01/12,Everton,Man City,1,0,H,9,17,4,11,4.33,3.5,1.85,1112
31/01/12,Man United,Stoke,2,0,H,11,8,7,3,1.33,5.0,10.0,1112
31/01/12,Swansea,Chelsea,1,1,D,7,20,5,10,4.0,3.25,2.0,1112
31/01/12,Tottenham,Wigan,3,1,H,20,10,13,6,1.22,6.0,15.0,1112
31/01/12,Wolves,Liverpool,0,3,A,5,23,1,14,5.0,3.8,1.7,1112
01/02/12,Aston Villa,QPR,2,2,D,23,3,15,3,1.8,3.5,4.75,1112
01/02/12,Blackburn,Newcastle,0,2,A,23,9,12,5,2.63,3.3,2.7,1112
01/02/12,Bolton,Arsenal,0,0,D,14,16,8,7,5.0,3.75,1.7,1112
01/02/12,Fulham,West Brom,1,1,D,13,15,6,11,1.83,3.5,4.5,1112
01/02/12,Sunderland,Norwich,3,0,H,10,12,6,4,1.91,3.5,4.2,1112
04/02/12,Arsenal,Blackburn,7,1,H,20,3,11,3,1.29,5.5,11.0,1112
04/02/12,Man City,Fulham,3,0,H,16,11,10,8,1.3,5.5,10.0,1112
04/02/12,Norwich,Bolton,2,0,H,22,10,9,6,2.0,3.5,3.75,1112
04/02/12,QPR,Wolves,1,2,A,13,14,8,6,1.91,3.6,4.0,1112
04/02/12,Stoke,Sunderland,0,1,A,9,4,6,2,2.25,3.25,3.3,1112
04/02/12,West Brom,Swansea,1,2,A,18,15,11,8,2.1,3.3,3.6,1112
04/02/12,Wigan,Everton,1,1,D,2,8,1,4,3.5,3.4,2.1,1112
05/02/12,Chelsea,Man United,3,3,D,19,14,10,10,2.5,3.3,2.88,1112
05/02/12,Newcastle,Aston Villa,2,1,H,16,13,8,8,2.0,3.4,3.8,1112
06/02/12,Liverpool,Tottenham,0,0,D,15,9,10,6,2.0,3.4,3.8,1112
11/02/12,Blackburn,QPR,3,2,H,7,25,5,13,2.38,3.3,3.0,1112
11/02/12,Bolton,Wigan,1,2,A,13,10,8,6,2.0,3.5,3.75,1112
11/02/12,Everton,Chelsea,2,0,H,10,8,7,7,3.25,3.3,2.25,1112
11/02/12,Fulham,Stoke,2,1,H,11,12,4,4,1.91,3.5,4.0,1112
11/02/12,Man United,Liverpool,2,1,H,11,9,6,6,1.85,3.6,4.33,1112
11/02/12,Sunderland,Arsenal,1,2,A,8,10,5,8,3.5,3.4,2.1,1112
11/02/12,Swansea,Norwich,2,3,A,16,18,9,11,1.83,3.5,4.5,1112
11/02/12,Tottenham,Newcastle,5,0,H,18,7,9,3,1.44,4.33,7.5,1112
12/02/12,Aston Villa,Man City,0,1,A,9,17,5,10,5.5,3.6,1.67,1112
12/02/12,Wolves,West Brom,1,5,A,10,26,8,16,2.5,3.25,2.88,1112
25/02/12,Chelsea,Bolton,3,0,H,25,8,16,1,1.29,5.5,11.0,1112
25/02/12,Man City,Blackburn,3,0,H,20,2,13,2,1.17,7.0,17.0,1112
25/02/12,Newcastle,Wolves,2,2,D,13,7,8,6,1.57,4.0,6.0,1112
25/02/12,QPR,Fulham,0,1,A,17,7,8,3,2.63,3.25,2.75,1112
25/02/12,West Brom,Sunderland,4,0,H,18,10,13,4,2.4,3.25,3.0,1112
25/02/12,Wigan,Aston Villa,0,0,D,14,10,6,3,2.75,3.25,2.63,1112
26/02/12,Arsenal,Tottenham,5,2,H,21,8,13,4,2.5,3.4,2.75,1112
26/02/12,Norwich,Man United,1,2,A,16,11,7,9,6.5,4.0,1.53,1112
26/02/12,Stoke,Swansea,2,0,H,9,11,6,6,2.1,3.4,3.5,1112
03/03/12,Blackburn,Aston Villa,1,1,D,15,17,9,12,2.38,3.4,3.0,1112
03/03/12,Liverpool,Arsenal,1,2,A,12,10,4,7,2.0,3.5,3.75,1112
03/03/12,Man City,Bolton,2,0,H,23,8,10,5,1.13,8.5,21.0,1112
03/03/12,QPR,Everton,1,1,D,22,8,10,5,3.1,3.25,2.38,1112
03/03/12,Stoke,Norwich,1,0,H,11,7,7,5,1.83,3.5,4.5,1112
03/03/12,West Brom,Chelsea,1,0,H,19,13,11,6,4.2,3.4,1.91,1112
03/03/12,Wigan,Swansea,0,2,A,14,12,8,8,2.5,3.25,2.88,1112
04/03/12,Fulham,Wolves,5,0,H,25,8,19,3,1.57,3.75,6.5,1112
04/03/12,Newcastle,Sunderland,1,1,D,24,7,12,6,2.1,3.4,3.5,1112
04/03/12,Tottenham,Man United,1,3,A,18,6,9,5,2.88,3.4,2.4,1112
10/03/12,Aston Villa,Fulham,1,0,H,19,5,8,1,2.5,3.25,2.88,1112
10/03/12,Bolton,QPR,2,1,H,11,17,7,11,2.5,3.25,2.88,1112
10/03/12,Chelsea,Stoke,1,0,H,21,8,11,3,1.4,4.5,8.5,1112
10/03/12,Everton,Tottenham,1,0,H,9,21,5,9,2.88,3.25,2.5,1112
10/03/12,Sunderland,Liverpool,1,0,H,6,9,1,5,3.8,3.4,2.0,1112
10/03/12,Wolves,Blackburn,0,2,A,14,12,7,8,2.38,3.3,3.0,1112
11/03/12,Man United,West Brom,2,0,H,20,6,9,3,1.29,5.5,11.0,1112
11/03/12,Norwich,Wigan,1,1,D,13,18,6,9,1.83,3.6,4.33,1112
11/03/12,Swansea,Man City,1,0,H,8,18,5,13,6.0,3.75,1.62,1112
12/03/12,Arsenal,Newcastle,2,1,H,21,5,13,3,1.44,4.33,7.5,1112
13/03/12,Liverpool,Everton,3,0,H,15,5,10,3,1.73,3.4,5.5,1112
17/03/12,Fulham,Swansea,0,3,A,14,10,7,7,1.83,3.5,4.5,1112
17/03/12,Wigan,West Brom,1,1,D,20,8,6,2,2.75,3.3,2.6,1112
18/03/12,Newcastle,Norwich,1,0,H,15,12,10,5,1.8,3.6,4.5,1112
18/03/12,Wolves,Man United,0,5,A,7,22,3,18,9.0,5.0,1.33,1112
20/03/12,Blackburn,Sunderland,2,0,H,16,2,9,0,2.4,3.4,2.88,1112
21/03/12,Everton,Arsenal,0,1,A,7,12,2,8,3.0,3.4,2.3,1112
21/03/12,Man City,Chelsea,2,1,H,20,6,10,5,1.91,3.6,4.0,1112
21/03/12,QPR,Liverpool,3,2,H,10,18,5,11,5.0,3.6,1.73,1112
21/03/12,Tottenham,Stoke,1,1,D,24,8,18,2,1.4,4.5,8.5,1112
24/03/12,Arsenal,Aston Villa,3,0,H,20,3,12,2,1.33,5.0,10.0,1112
24/03/12,Bolton,Blackburn,2,1,H,12,10,6,4,2.4,3.4,2.9,1112
24/03/12,Chelsea,Tottenham,0,0,D,10,19,5,7,1.83,3.6,4.33,1112
24/03/12,Liverpool,Wigan,1,2,A,12,6,9,5,1.29,5.5,11.0,1112
24/03/12,Norwich,Wolves,2,1,H,15,10,11,6,1.73,3.75,4.75,1112
24/03/12,Stoke,Man City,1,1,D,10,16,3,11,6.0,3.75,1.62,1112
24/03/12,Sunderland,QPR,3,1,H,15,10,8,6,2.0,3.4,3.8,1112
24/03/12,Swansea,Everton,0,2,A,10,15,3,8,2.2,3.25,3.4,1112
25/03/12,West Brom,Newcastle,1,3,A,14,10,6,7,2.3,3.4,3.1,1112
26/03/12,Man United,Fulham,1,0,H,19,5,16,4,1.22,6.0,15.0,1112
31/03/12,Aston Villa,Chelsea,2,4,A,9,12,5,9,4.5,3.5,1.83,1112
31/03/12,Everton,West Brom,2,0,H,16,9,9,5,1.83,3.5,4.5,1112
31/03/12,Fulham,Norwich,2,1,H,14,16,9,8,1.7,3.75,5.0,1112
31/03/12,Man City,Sunderland,3,3,D,19,8,10,4,1.22,6.5,12.0,1112
31/03/12,QPR,Arsenal,2,1,H,10,13,8,7,5.5,4.2,1.57,1112
31/03/12,Wigan,Stoke,2,0,H,13,6,11,2,2.63,3.25,2.75,1112
