Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,B365H,B365D,B365A,Season
13/08/11,Blackburn,Wolves,1,2,A,16,13,8,4,2.2,3.2,3.5,1112
13/08/11,Fulham,Aston Villa,0,0,D,13,7,9,1,2.2,3.2,3.5,1112
13/08/11,Liverpool,Sunderland,1,1,D,11,15,4,6,1.57,3.6,7.0,1112
13/08/11,Newcastle,Arsenal,0,0,D,6,9,1,4,3.75,3.25,2.1,1112
13/08/11,QPR,Bolton,0,4,A,13,13,7,7,2.4,3.25,3.0,1112
13/08/11,Wigan,Norwich,1,1,D,18,13,11,3,2.2,3.2,3.5,1112
14/08/11,Stoke,Chelsea,0,0,D,6,20,3,11,5.5,3.5,1.7,1112
14/08/11,West Brom,Man United,1,2,A,14,11,8,5,6.5,4.0,1.53,1112
15/08/11,Man City,Swansea,4,0,H,26,8,19,5,1.29,5.0,13.0,1112
20/08/11,Arsenal,Liverpool,0,2,A,10,13,6,8,2.5,3.25,2.9,1112
20/08/11,Aston Villa,Blackburn,3,1,H,9,10,6,6,1.73,3.4,5.5,1112
20/08/11,Chelsea,West Brom,2,1,H,22,6,12,4,1.3,5.5,10.0,1112
20/08/11,Everton,QPR,0,1,A,14,4,7,3,1.53,3.8,7.0,1112
20/08/11,Sunderland,Newcastle,0,1,A,15,12,5,10,2.2,3.25,3.4,1112
20/08/11,Swansea,Wigan,0,0,D,12,10,6,4,2.1,3.3,3.6,1112
21/08/11,Bolton,Man City,2,3,A,6,17,4,9,4.75,3.5,1.8,1112
21/08/11,Norwich,Stoke,1,1,D,9,15,7,5,2.6,3.3,2.75,1112
21/08/11,Wolves,Fulham,2,0,H,17,8,7,4,2.38,3.25,3.1,1112
22/08/11,Man United,Tottenham,3,0,H,27,20,21,12,1.67,3.75,5.5,1112
27/08/11,Aston Villa,Wolves,0,0,D,15,3,5,2,2.1,3.25,3.75,1112
27/08/11,Blackburn,Everton,0,1,A,14,9,6,4,3.3,3.25,2.25,1112
27/08/11,Chelsea,Norwich,3,1,H,16,9,8,6,1.2,6.5,15.0,1112
27/08/11,Liverpool,Bolton,3,1,H,17,7,9,4,1.4,4.5,8.5,1112
27/08/11,Swansea,Sunderland,0,0,D,15,12,6,8,2.38,3.3,3.0,1112
27/08/11,Wigan,QPR,2,0,H,13,19,10,9,2.25,3.3,3.25,1112
28/08/11,Man United,Arsenal,8,2,H,25,19,15,13,1.5,4.33,6.5,1112
28/08/11,Newcastle,Fulham,2,1,H,13,16,9,9,2.1,3.25,3.75,1112
28/08/11,Tottenham,Man City,1,5,A,15,22,10,12,2.88,3.3,2.5,1112
28/08/11,West Brom,Stoke,0,1,A,16,7,7,1,2.1,3.25,3.75,1112
