datetime,home,away,homegoals,awaygoals,home_xG,away_xG,data_quality_flag
2019-08-09 20:00:00,Liverpool,Norwich,4,1,2.23456,0.842407,True
2019-08-10 12:30:00,West Ham,Manchester City,0,5,1.2003,3.18377,True
2019-08-10 15:00:00,Bournemouth,Sheffield United,1,1,1.34099,1.59864,True
2019-08-10 15:00:00,Burnley,Southampton,3,0,0.909241,1.08752,True
2019-08-10 15:00:00,Crystal Palace,Everton,0,0,0.87159,1.2246,True
2019-08-10 15:00:00,Watford,Brighton,0,3,0.670022,0.855516,True
2019-08-10 17:30:00,Tottenham,Aston Villa,3,1,2.57262,0.639599,True
2019-08-11 14:00:00,Newcastle United,Arsenal,0,1,0.380551,1.13309,True
2019-08-11 14:00:00,Leicester,Wolverhampton Wanderers,0,0,0.543759,0.812949,True
2019-08-11 16:30:00,Manchester United,Chelsea,4,0,2.37442,1.09534,True
2019-08-17 12:30:00,Arsenal,Burnley,2,1,1.1644,1.39172,True
2019-08-17 15:00:00,Aston Villa,Bournemouth,1,2,1.65069,1.62777,True
2019-08-17 15:00:00,Brighton,West Ham,1,1,2.40461,1.00856,True
2019-08-17 15:00:00,Everton,Watford,1,0,0.832913,1.17279,True
2019-08-17 15:00:00,Norwich,Newcastle United,3,1,2.09572,0.920429,True
2019-08-17 15:00:00,Southampton,Liverpool,1,2,2.14047,1.52022,True
2019-08-17 17:30:00,Manchester City,Tottenham,2,2,3.20076,0.074542,True
2019-08-18 14:00:00,Sheffield United,Crystal Palace,1,0,1.84778,0.241912,True
2019-08-18 16:30:00,Chelsea,Leicester,1,1,1.22629,0.947941,True
2019-08-19 20:00:00,Wolverhampton Wanderers,Manchester United,1,1,0.307356,1.14332,True
2019-08-23 20:00:00,Aston Villa,Everton,2,0,0.855926,1.25668,True
2019-08-24 12:30:00,Norwich,Chelsea,2,3,1.07904,1.89428,True
2019-08-24 15:00:00,Sheffield United,Leicester,1,2,0.654318,0.704879,True
