datetime,home,away,homegoals,awaygoals,home_xG,away_xG,data_quality_flag
2015-08-08 15:45:00,Manchester United,Tottenham,1,0,0.627539,0.6746,True
2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,0.876106,0.782253,True
2015-08-08 18:00:00,Everton,Watford,2,2,0.604226,0.557892,True
2015-08-08 18:00:00,Leicester,Sunderland,4,2,2.56803,1.45946,True
2015-08-08 18:00:00,Norwich,Crystal Palace,1,3,1.13076,2.10975,True
2015-08-08 20:30:00,Chelsea,Swansea,2,2,0.64396,2.59203,True
2015-08-09 16:30:00,Newcastle United,Southampton,2,2,1.54613,1.2529,True
2015-08-09 16:30:00,Arsenal,West Ham,0,2,1.33166,0.535961,True
2015-08-09 19:00:00,Stoke,Liverpool,0,1,0.381274,0.329873,True
2015-08-10 23:00:00,West Bromwich Albion,Manchester City,0,3,0.435238,1.9242,True
2015-08-14 22:45:00,Aston Villa,Manchester United,0,1,0.219118,0.660404,True
2015-08-15 15:45:00,Southampton,Everton,0,3,1.06214,1.39628,True
2015-08-15 18:00:00,Sunderland,Norwich,1,3,0.329128,1.71686,True
2015-08-15 18:00:00,Swansea,Newcastle United,2,0,1.97424,0.113109,True
2015-08-15 18:00:00,Tottenham,Stoke,2,2,1.70614,2.80956,True
2015-08-15 18:00:00,Watford,West Bromwich Albion,0,0,0.760848,0.684036,True
2015-08-15 18:00:00,West Ham,Leicester,1,2,0.513491,1.80939,True
2015-08-16 16:30:00,Crystal Palace,Arsenal,1,2,0.964134,2.05542,True
2015-08-16 19:00:00,Manchester City,Chelsea,3,0,2.18579,0.482423,True
2015-08-17 23:00:00,Liverpool,Bournemouth,1,0,2.15062,0.460805,True
2015-08-22 15:45:00,Manchester United,Newcastle United,0,0,1.2491,0.4384,True
2015-08-22 18:00:00,Norwich,Stoke,1,1,3.14888,0.698228,True
2015-08-22 18:00:00,Sunderland,Swansea,1,1,0.569426,1.56064,True
2015-08-22 18:00:00,Crystal Palace,Aston Villa,2,1,1.23807,0.765278,True
2015-08-22 18:00:00,Leicester,Tottenham,1,1,0.829012,1.89437,True
2015-08-22 18:00:00,West Ham,Bournemouth,3,4,1.50203,2.8554,True
2015-08-23 16:30:00,West Bromwich Albion,Chelsea,2,3,1.42622,2.02778,True
2015-08-23 19:00:00,Everton,Manchester City,0,2,0.579338,1.57983,True
2015-08-23 19:00:00,Watford,Southampton,0,0,1.17588,0.68359,True
2015-08-24 23:00:00,Arsenal,Liverpool,0,0,1.83755,1.29206,True
2015-08-29 15:45:00,Newcastle United,Arsenal,0,1,0.0319694,2.33948,True
2015-08-29 18:00:00,Stoke,West Bromwich Albion,0,1,1.21771,0.881194,True
2015-08-29 18:00:00,Aston Villa,Sunderland,2,2,2.27406,0.368848,True
2015-08-29 18:00:00,Bournemouth,Leicester,1,1,0.321432,0.919097,True
2015-08-29 18:00:00,Chelsea,Crystal Palace,1,2,1.27906,2.19283,True
2015-08-29 18:00:00,Liverpool,West Ham,0,3,0.561737,0.97217,True
2015-08-29 18:00:00,Manchester City,Watford,2,0,1.52895,0.363603,True
2015-08-29 20:30:00,Tottenham,Everton,0,0,1.99917,0.694692,True
2015-08-30 16:30:00,Southampton,Norwich,3,0,2.85501,0.639434,True
2015-08-30 19:00:00,Swansea,Manchester United,2,1,0.971183,1.28089,True
2015-09-12 15:45:00,Everton,Chelsea,3,1,1.18026,0.656048,True
2015-09-12 18:00:00,Arsenal,Stoke,2,0,4.42684,0.191277,True
2015-09-12 18:00:00,Crystal Palace,Manchester City,0,1,0.743193,3.08883,True
2015-09-12 18:00:00,Watford,Swansea,1,0,1.57333,0.503008,True
2015-09-12 18:00:00,West Bromwich Albion,Southampton,0,0,0.409143,1.00731,True
2015-09-12 18:00:00,Norwich,Bournemouth,3,1,1.33151,0.389495,True
2015-09-12 20:30:00,Manchester United,Liverpool,3,1,1.46206,1.02572,True
2015-09-13 16:30:00,Sunderland,Tottenham,0,1,1.0407,1.45615,True
2015-09-13 19:00:00,Leicester,Aston Villa,3,2,1.34987,0.953181,True
2015-09-14 23:00:00,West Ham,Newcastle United,2,0,1.71282,0.716599,True
2015-09-19 15:45:00,Chelsea,Arsenal,2,0,2.0687,0.775312,True
2015-09-19 18:00:00,Newcastle United,Watford,1,2,1.15114,1.33961,True
2015-09-19 18:00:00,Aston Villa,West Bromwich Albion,0,1,0.876719,0.632761,True
2015-09-19 18:00:00,Bournemouth,Sunderland,2,0,0.644335,0.854867,True
2015-09-19 18:00:00,Stoke,Leicester,2,2,1.14717,1.22582,True
2015-09-19 18:00:00,Swansea,Everton,0,0,0.864868,1.77458,True
2015-09-19 20:30:00,Manchester City,West Ham,1,2,2.98465,0.995273,True
2015-09-20 16:30:00,Tottenham,Crystal Palace,1,0,1.01573,0.538439,True
2015-09-20 19:00:00,Southampton,Manchester United,2,3,1.83663,1.65119,True
2015-09-20 19:00:00,Liverpool,Norwich,1,1,1.90447,0.556271,True
2015-09-26 15:45:00,Tottenham,Manchester City,4,1,2.30799,1.57842,True
2015-09-26 18:00:00,Southampton,Swansea,3,1,1.55418,1.41962,True
2015-09-26 18:00:00,Stoke,Bournemouth,2,1,1.94483,0.871678,True
2015-09-26 18:00:00,Leicester,Arsenal,2,5,1.38516,3.89623,True
2015-09-26 18:00:00,Liverpool,Aston Villa,3,2,1.78331,0.892054,True
2015-09-26 18:00:00,Manchester United,Sunderland,3,0,2.8971,0.832139,True
2015-09-26 18:00:00,West Ham,Norwich,2,2,2.60407,1.38603,True
2015-09-26 20:30:00,Newcastle United,Chelsea,2,2,0.702109,1.30593,True
2015-09-27 19:00:00,Watford,Crystal Palace,0,1,0.685939,2.33566,True
2015-09-28 23:00:00,West Bromwich Albion,Everton,2,3,1.27511,2.30159,True
2015-10-03 15:45:00,Crystal Palace,West Bromwich Albion,2,0,1.99083,0.255528,True
